,B1,B2,B3,B4,B5,B6,B7,date
731,335.0,432.0,797.0,1274.0,2276.0,2751.0,2116.0,2.0
732,345.0,499.0,806.0,1036.0,1793.0,1859.0,1245.0,2.0
733,1374.0,1694.0,2384.0,3025.0,4081.0,5155.0,4440.0,2.0
734,1502.5,1802.0,2449.0,3052.5,4027.5,4951.5,4186.0,2.0
735,638.0,837.0,1265.0,1676.0,2555.0,3413.0,2818.0,2.0
736,508.0,630.0,869.0,1099.0,1920.0,2651.0,2111.0,2.0
737,757.0,920.0,1465.0,2050.0,3016.0,3589.0,2925.0,2.0
738,821.5,1043.0,1680.0,2324.0,3411.5,3846.0,3056.5,2.0
739,558.0,664.0,1056.0,1406.0,2388.0,2695.0,1988.0,2.0
740,341.0,437.0,810.0,1284.0,2406.0,2607.0,2088.0,2.0
741,562.0,739.0,1363.0,1922.0,2984.0,3677.0,2992.0,2.0
742,610.0,770.0,1325.0,1971.0,2804.0,3595.0,2888.0,2.0
743,310.0,395.5,844.0,855.0,3274.5,2476.0,1501.5,2.0
744,248.0,285.0,512.0,746.0,1850.0,2012.0,1222.0,2.0
745,442.0,545.0,951.0,1476.0,2472.0,3044.0,2125.0,2.0
746,552.0,688.0,1148.5,1697.5,2832.0,3320.0,2366.5,2.0
747,259.0,334.0,630.0,1012.0,1800.0,2255.0,1524.0,2.0
748,358.5,534.5,862.0,1118.5,2234.5,2605.5,1912.0,2.0
749,933.0,1074.0,1405.5,1698.0,3502.0,2903.0,2265.0,2.0
750,429.5,678.5,1217.0,1537.5,3183.5,2816.5,2069.0,2.0
751,423.0,674.0,1146.0,1547.0,2420.0,3192.0,2505.5,2.0
752,296.0,365.0,605.0,644.0,2432.0,1953.0,1168.0,2.0
753,639.0,796.0,1435.0,2079.0,2794.0,3232.0,2629.0,2.0
754,325.0,819.0,1759.5,2482.5,3334.0,3789.5,2856.5,2.0
755,444.0,526.0,997.0,1445.0,1961.0,2413.0,1823.0,2.0
756,430.0,549.0,850.0,1070.0,2857.0,3254.0,2184.0,2.0
757,540.0,648.0,1035.0,1176.0,3262.0,3386.0,2308.0,2.0
758,966.0,1176.5,1776.0,2415.5,3376.5,4202.5,3408.5,2.0
759,644.0,839.0,1479.0,2014.0,3188.0,3964.0,3157.0,2.0
760,420.0,499.0,765.0,1132.0,1641.0,2614.0,2210.0,2.0
761,327.0,581.0,1216.0,1444.0,3759.0,2938.0,2024.0,2.0
762,670.5,1000.0,1623.0,2370.0,3282.0,4525.0,3703.0,2.0
763,467.0,648.0,1190.0,1732.0,2418.0,3697.0,3109.0,2.0
764,544.0,718.0,1043.0,1371.0,2305.0,2673.0,2080.0,2.0
765,1166.0,1343.0,2022.0,2616.0,3851.0,4384.0,3646.0,2.0
766,1155.5,1421.0,1994.5,2525.0,3758.5,4442.0,3652.5,2.0
767,779.0,949.0,1437.0,1802.0,2758.0,3328.0,2576.0,2.0
768,1040.5,1301.0,1818.0,2123.5,2805.5,3275.5,2774.0,2.0
769,1530.0,1910.5,2554.0,3009.0,3938.0,4225.0,3524.5,2.0
770,1403.0,1741.0,2406.0,2893.0,3512.0,3981.0,3232.0,2.0
771,1189.0,1497.0,2099.0,2437.0,3422.0,3493.0,2845.0,2.0
772,748.5,923.5,1546.0,2290.0,3325.0,4374.5,3476.5,2.0
773,862.0,1075.0,1823.0,2502.0,3786.0,4678.0,3826.0,2.0
774,877.0,1106.5,1808.5,2737.0,3935.5,5024.5,4037.5,2.0
775,692.0,886.0,1603.0,2433.0,3606.0,4658.0,3721.0,2.0
776,466.5,603.0,1012.5,1576.5,2421.5,3045.0,2400.0,2.0
777,1350.0,1499.0,1980.0,2525.0,3782.0,3929.0,3321.0,2.0
778,934.5,1184.0,1869.0,2858.5,3927.5,5125.0,4262.0,2.0
779,411.0,583.0,1131.0,1567.0,3200.0,3008.0,2124.0,2.0
780,629.0,792.0,1299.0,1851.0,2786.0,3722.5,3039.5,2.0
781,819.0,1007.0,1649.0,2586.0,3781.0,4638.0,3893.0,2.0
782,870.5,1111.0,1957.5,3107.0,4088.0,5140.0,4233.5,2.0
783,475.0,620.0,1158.0,1907.0,2797.0,3702.0,3142.0,2.0
784,483.0,577.5,913.0,1304.0,2454.0,3343.5,2528.5,2.0
785,597.0,781.0,1377.0,1843.0,3153.0,3431.0,2753.0,2.0
786,621.0,790.5,1391.0,2230.0,3170.0,4259.0,3514.0,2.0
787,440.0,569.0,1083.0,1854.0,2850.0,3787.0,3135.0,2.0
788,335.0,421.0,632.0,767.0,2111.0,2213.0,1438.0,2.0
789,460.0,624.0,1063.5,1362.0,3135.0,2738.0,1962.5,2.0
790,593.0,789.0,1286.0,1775.0,3048.5,3312.5,2515.5,2.0
791,291.5,350.5,628.0,604.0,2494.0,1924.5,1167.5,2.0
792,2911.0,2801.0,2663.0,2533.0,3620.0,2082.0,1220.0,2.0
793,370.0,371.0,568.0,479.0,2602.0,1693.0,1122.0,2.0
794,8024.0,8533.0,8509.0,9117.0,9989.0,6673.0,5334.0,2.0
795,,,,,,,,2.0
796,859.5,1139.5,1870.0,2564.0,3503.5,4638.5,3865.5,2.0
797,758.0,1139.0,1954.0,2516.0,3606.0,4120.0,3470.0,2.0
798,877.5,1199.5,1986.5,2678.5,3954.5,4755.0,3942.5,2.0
799,617.0,849.0,1468.0,1974.0,3039.0,3787.0,3039.0,2.0
800,384.0,444.5,643.5,751.0,1858.0,2278.0,1625.0,2.0
801,514.0,657.0,1091.0,1371.0,2487.0,2607.0,2083.0,2.0
802,586.0,721.0,1214.0,1733.0,2952.5,3434.5,2592.0,2.0
803,438.0,560.0,978.0,1411.0,2318.0,2837.0,2220.0,2.0
804,436.0,571.0,831.0,1037.0,1842.0,2610.0,2033.0,2.0
805,1082.0,1404.0,2100.0,2719.0,3644.0,4329.0,3201.0,2.0
806,756.5,960.0,1450.0,1868.0,2668.0,3999.5,3319.5,2.0
807,495.0,655.0,1064.0,1271.0,2262.0,3085.0,2418.0,2.0
808,552.0,681.5,1111.5,1820.5,2640.0,3462.5,2711.0,2.0
809,681.0,922.5,1577.5,2261.0,3582.5,4026.0,3216.5,2.0
810,1967.0,2107.0,2574.0,3183.0,4203.0,4652.0,3911.0,2.0
811,502.5,584.5,998.5,1671.5,2599.5,3371.0,2598.0,2.0
812,397.5,490.0,739.5,1057.5,1729.0,2084.0,1676.0,2.0
