Point_ID,Coarse,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc,x,y
"38803002",,,,,4.40,4.53,60.10,25.80,"0",54.10,3.10,94.60,E20,U111,FR,FRE,FRE2,FRE21,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),3.8460425060,49.9639130100
"38803038",,,,,6.60,6.71,19.36,15.50,"0",61.30,1.80,195.40,B16,U111,FR,FRE,FRE1,FRE11,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),3.8041852330,50.2862741500
"38803102","8","18","16","66",6.80,7.02,39.10,8.60,"0",99.20,1.20,287.00,B22,U111,BE,BE2,BE23,BE235,Cropland,Sugar beet,Agriculture (excluding fallow land and kitchen gardens),3.7279932700,50.8592347000
"38803134","9","8","59","32",4.80,5.08,33.40,14.50,"1",77.70,1.70,49.40,B55,U111,BE,BE2,BE23,BE234,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens),3.6890173980,51.1456574900
"38822434","20","15","33","53",4.20,4.52,14.70,38.40,"1",27.80,4.10,226.70,E10,U111,FR,FRK,FRK2,FRK22,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.4489079170,44.8706252000
"38822448","30","12","52","36",4.00,4.60,6.21,44.00,"0",8.40,2.70,49.60,C10,U120,FR,FRK,FRK2,FRK22,Woodland,Broadleaved woodland,Forestry,4.4363787310,44.9964282500
"38822466","40","6","63","31",3.10,3.68,21.50,141.50,"1",34.60,7.60,104.20,C21,U120,FR,FRK,FRK1,FRK13,Woodland,Spruce dominated coniferous woodland,Forestry,4.4201605740,45.1581556600
"38822512",,,,,6.20,6.37,9.78,17.90,"1",32.40,2.00,189.30,B55,U111,FR,FRK,FRK2,FRK25,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens),4.3781473450,45.5713620100
"38822538",,,,,6.60,6.75,19.08,31.40,"2",51.00,3.00,465.80,E10,U370,FR,FRK,FRK2,FRK25,Grassland,Grassland with sparse tree/shrub cover,Residential,4.3540338000,45.8048530900
"38822584",,,,,3.60,4.19,8.07,40.10,"0",32.00,3.20,98.70,C21,U120,FR,FRC,FRC1,FRC13,Woodland,Spruce dominated coniferous woodland,Forestry,4.3107066600,46.2178491300
"38822718",,,,,5.20,5.56,17.69,10.50,"0",9.60,1.40,71.80,B18,U111,FR,FRC,FRC1,FRC11,Cropland,Triticale,Agriculture (excluding fallow land and kitchen gardens),4.1794439890,47.4202102200
"38822830",,,,,7.40,7.80,28.40,23.10,"593",30.50,2.50,249.60,B11,U111,FR,FRF,FRF2,FRF22,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.0636044980,48.4244166500
"38822848",,,,,7.50,7.80,29.60,21.40,"672",58.20,2.50,429.20,B52,U111,FR,FRF,FRF2,FRF22,Cropland,Lucerne,Agriculture (excluding fallow land and kitchen gardens),4.0444374930,48.5857479200
"38822872",,,,,7.50,7.89,18.66,8.50,"897",31.90,1.80,70.10,B11,U111,FR,FRF,FRF2,FRF23,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.0186366930,48.8008320600
"38822926",,,,,7.40,7.58,47.00,17.40,"491",90.80,1.90,277.60,B22,U111,FR,FRF,FRF2,FRF23,Cropland,Sugar beet,Agriculture (excluding fallow land and kitchen gardens),3.9595404810,49.2846731900
"38822962",,,,,7.10,7.41,10.20,6.10,"3",60.70,0.80,113.00,B11,U111,FR,FRE,FRE2,FRE21,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),3.9193193720,49.6071612300
"38823150","6","26","32","42",7.50,7.85,32.00,9.80,"163",69.10,1.40,304.90,B23,U111,NL,NL3,NL34,NL341,Cropland,Other root crops,Agriculture (excluding fallow land and kitchen gardens),3.6978835380,51.2904077300
"38842328",,,,,7.20,7.59,8.99,9.50,"16",21.60,1.20,89.40,E10,U370,FR,FRJ,FRJ1,FRJ12,Grassland,Grassland with sparse tree/shrub cover,Residential,4.5662183890,43.9189844100
"38842342",,,,,5.80,6.27,5.81,6.80,"0",47.20,0.90,123.40,B11,U111,FR,FRJ,FRJ1,FRJ12,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.5542860690,44.0448950400
"38842414","32","28","14","57",5.60,6.09,16.35,54.30,"1",22.00,5.50,241.50,E20,U111,FR,FRK,FRK2,FRK22,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.4918097120,44.6922141100
"38842454","27","9","52","39",5.30,5.69,26.80,36.30,"0",23.90,3.90,133.10,E20,U111,FR,FRK,FRK2,FRK22,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.4562775070,45.0516804100
"38842464","33","9","51","40",3.60,4.08,19.01,57.00,"1",32.10,4.30,93.60,C22,U420,FR,FRK,FRK2,FRK22,Woodland,Pine dominated coniferous woodland,Semi-natural and natural areas not in use,4.4473003780,45.1415301400
"38842482","16","9","51","40",4.30,4.71,33.30,60.30,"0",20.70,5.40,118.90,E20,U111,FR,FRK,FRK2,FRK25,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.4310454370,45.3032429700
"38842486",,,,,5.60,5.92,33.60,60.90,"2",33.80,6.00,225.80,E20,U111,FR,FRK,FRK2,FRK25,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.4274163410,45.3391762600
"38842590",,,,,5.30,5.64,13.62,39.00,"0",33.80,4.30,298.20,E20,U111,FR,FRC,FRC1,FRC13,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.3308493200,46.2730843200
"38842666",,,,,4.50,4.77,30.00,28.50,"1",52.70,3.30,375.90,E20,U111,FR,FRC,FRC1,FRC13,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),4.2574866760,46.9551405000
"38842810",,,,,7.30,7.72,29.20,17.30,"651",15.90,3.00,132.20,B32,U111,FR,FRF,FRF2,FRF22,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens),4.1115661220,48.2465782300
"38842864",,,,,7.40,7.73,42.90,27.60,"804",59.50,3.00,209.50,B21,U111,FR,FRF,FRF2,FRF23,Cropland,Potatoes,Agriculture (excluding fallow land and kitchen gardens),4.0543731980,48.7305936500
"38842882",,,,,7.50,7.95,21.50,11.30,"814",29.50,2.30,195.90,B11,U111,FR,FRF,FRF2,FRF23,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),4.0349951270,48.8919011100
"38842990",,,,,6.30,6.43,15.38,35.30,"0",43.70,3.50,88.70,E20,U111,FR,FRE,FRE2,FRE21,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),3.9153003380,49.8594390100
"38843040",,,,,6.80,7.08,20.20,13.20,"1",85.70,1.60,246.20,F40,U111,FR,FRE,FRE1,FRE11,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),3.8578181480,50.3072055400
"38843066","8","20","19","60",6.20,6.49,39.50,11.70,"0",59.50,1.40,412.30,B21,U111,BE,BE3,BE32,BE323,Cropland,Potatoes,Agriculture (excluding fallow land and kitchen gardens),3.8273886020,50.5400049000
"38862312",,,,,7.50,8.04,20.50,14.90,"220",22.30,1.40,210.30,B82,U111,FR,FRJ,FRJ1,FRJ12,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens),4.6045049110,43.7763692000
"38862322",,,,,7.40,7.77,44.90,31.70,"55",21.50,2.10,354.20,B75,U111,FR,FRJ,FRJ1,FRJ12,Cropland,Other fruit trees and berries,Agriculture (excluding fallow land and kitchen gardens),4.5960833240,43.8663208900
"38862442","18","11","51","38",3.90,4.42,14.95,34.30,"0",32.20,2.90,104.40,C32,U120,FR,FRK,FRK2,FRK22,Woodland,Pine dominated mixed woodland,Forestry,4.4922438750,44.9451834400
